I	/aɪ/	pron.(主格)我
innovation	/,inəu'veiʃən/	n.改革,革新;新观念,新方法,新发明
innumerable	/i'nuj:mərəbl/	a.无数的,数不清的
input	/'input/	n./v.输入
inquiry	/in'kwaiəri/	n.(enquiry)询问,打听,调查
insect	/'insekt/	n.昆虫
insert	/in'sə:t,'insə:t/	v.插入,嵌入;登载n.插入物
inside	/,in'said,'in-/	a.里面的ad.在里面n.内部prep.在…里
insight	/'insait/	n.洞察力,见识
insist	/in'sist/	vi.(on)坚持要求,坚决主张,坚持
inspect	/in'spekt/	vt.检查,调查,视察
inspiration	/,inspə'reiʃən/	n.灵感;鼓舞,激励
inspire	/in'spaiə/	vt.鼓舞,激起;使产生灵感
install	/in'stɔ:l/	vt.(instal)安装,设置,安置;使就职,任命
installation	/,instə'leiʃən/	n.安装,设置;装置,设备
installment	/in'stɔ:lmənt/	n.(instalment)分期付款;(连载的)一期
instance	/'instəns/	n.例子,事例,例证
instant	/'instənt/	a.立即的;紧迫的;(食品)速溶的n.瞬间,时刻
instantaneous	/,instən'teinjəs/	a.瞬间的,即刻的
instead	/in'sted/	ad.代替,顶替
instinct	/'instiŋkt/	n.本能,直觉,天性
institute	/'institjut,-tu:t/	n.学会,研究所;学院v.设立,设置,制定
institution	/,insti'tju:ʃən/	n.公共机构;协会;学校;研究所;制度;惯例
instruct	/in'strʌkt/	v.教,教授;命令,指示
instruction	/in'strʌkʃən/	n.教授;指导;(pl.)用法说明(书),操作指南
instrument	/'instrumənt/	n.工具,仪器,器械;乐器
instrumental	/,instru'mentəl/	a.仪器的;器械的;乐器的;起作用的;有帮助的
insulate	/'insjuleit,'insə-/	vt.隔离,孤立;使绝缘,使绝热
insult	/in'sʌlt/	vt./n.侮辱,凌辱
insurance	/in'ʃuərəns/	n.保险,保险费,保险业
insure	/in'ʃuə/	vt.保险,给…保险;保证
intact	/in'tækt/	a.完整无缺的,未经触动的,未受损伤的
integral	/'intiɡrəl/	a.构成整体所必需的;完整的
integrate	/'intiɡreit/	v.(into,with)(使)成为一体,(使)结合在一起
integrity	/in'teɡrəti/	n.正直,诚实;完整,完全
intellectual	/,intə'lektjuəl/	n.知识分子a.智力的,理智的,有理解力的
intelligence	/in'telidʒəns/	n.智力,聪明;理解力;情报,消息,报导
intelligent	/in'telidʒent/	a.聪明的,明智的,理智的
intelligible	/in'telidʒəbl/	a.可理解的,明白易懂的,清楚的
intend	/in'tend/	vt.想要,打算,企图
intense	/in'tens/	a.强烈的,剧烈的;热烈的,热情的
intensity	/in'tensəti/	n.强烈,剧烈;强度
intensive	/in'tensiv/	a.加强的,集中的,深入细致的,精耕细作的
intention	/in'tenʃən/	n.意图,意向,目的
interact	/'intərækt/	v.互相作用,互相影响
intercourse	/'intəkɔ:s/	n.交流,交往,交际,性交
interest	/'intrist,'intər-/	n.(in)兴趣,重要性;利益v.(in)使发生兴趣
interesting	/'intristiŋ,'intər-/	a.有趣的,引人入胜的
interface	/'intəfeis/	n.接合部位,分界面v.(使)互相联系
interfere	/,intə'fiə/	v.(in)干涉,干预;(with)妨碍,打扰
interference	/,intə'fiərəns/	n.(in)干涉,干预;(with)妨碍,打扰
interim	/'intərim/	a.中间的,暂时的,临时的n.过渡时期,暂定
interior	/in'tiəriə/	a.内部的,里面的n.内部,内地
intermediate	/,intə'mi:djət,-dieit/	a.中间的,居间的;中级的n.中间体,媒介物
intermittent	/,intə'mitənt/	a.间歇的,断断续续的
internal	/in'tə:nəl/	a.内部的,内的;国内的,内政的
international	/,intə'næʃənəl/	a.国际的,世界(性)的,跨国的
internet	/'intənet/	n./the～/国际互联网,因特网
interpret	/in'tə:prit/	vt.解释,说明;口译
interrupt	/ˌɪntəˈrʌpt/	v.中断,遮断,阻碍;打断(话),打扰
intersection	/,intə'sekʃən/	n.相交,交叉;道路交叉口,十字路口
interval	/'intəvəl/	n.间隔,间歇;(幕间或工间)休息
intervene	/,intə'vi:n/	v.(in)干涉,干预;插入,介入
interview	/'intəvju:/	v./n.接见,会见;采访;面试
intimate	/'intimət/	a.亲密的,密切的n.熟友,熟人
intimidate	/in'timideit/	vt.胁迫,威胁(某人做某事)
into	/'intu:,-tu,-tə/	prep.到...里面,进入;成为(表示变化)
intricate	/'intrikət/	a.复杂的,错综的,难以理解的
intrigue	/in'tri:ɡ,'in-/	n.阴谋v.密谋,私通;激起…的兴趣;诡计取得
intrinsic	/in'trinsik,-kəl/	a.(指价值、性质)固有的,本质的,内在的
introduce	/,intrə'dju:s/	vt.介绍;引进,传入;提出(议案等)
introduction	/,intrə'dʌkʃən/	n.(to)介绍;传入,引进;导言,导论,绪论
intrude	/in'tru:d/	vi.闯入,侵入vt.把(思想等)强加于人;强挤入
intuition	/,intju:'iʃən/	n.直觉,直观;凭直觉而知的事物
invade	/in'veid/	vt.入侵,侵略,侵袭,侵扰
invalid	/'invəli:d/	n.病人,伤残人/ɪnˈvælɪd/a.有病的,伤残的;无效的
invaluable	/in'væljuəbl/	a.非常宝贵的,无价的
invariably	/ɪnˈveriəbli/	ad.不变地,永恒地,总是
invasion	/in'veiʒən/	n.入侵,侵略,侵犯
invent	/in'vent/	v.发明,创造;捏造,虚构
invention	/in'venʃən/	n.发明,创造,发明物
inventory	/'invəntəri,-tɔ:ri/	n.详细目录,存货,财产清册,总量
inverse	/'invə:s,in'v-,in'və:s/	a.相反的,倒转的,反转的n.相反之物v.倒转
invert	/in'və:t,'invə:t/	v.倒置,倒转,颠倒
invest	/in'vest/	vt.投资,投入(精力、时间等)
investigate	/in'vestiɡeit/	v.调查,调查研究
investment	/in'vestmənt/	n.投资,投资额
invisible	/in'vizəbl/	a.看不见的,无形的
invitation	/,invi'teiʃən/	n.邀请,招待;请柬
invite	/in'vait,'invait/	vt.邀请,招待
involve	/in'vɔlv/	v.卷入,陷入,连累;包含,含有,涉及
inward	/'inwəd/	ad.向内,在内a.向内的,在内的,里面的
iron	/'aiən/	n.铁,铁制品,烙铁,熨斗v.熨(衣),熨平
irony	/'aiərəni/	n.反话,讽刺,讽刺之事
irrespective	/,iri'spektiv/	a.不顾的,不考虑的,无关的
irrigate	/'iriɡeit/	vt.灌溉,修水利vi.进行灌溉
irritate	/'iriteit/	vt.激怒,恼火,使急躁
island	/'ailənd/	n.岛,岛屿;(道路上的)交通安全岛
isle	/ail/	n.小岛(用于诗歌中)
isolate	/'aisəleit,-lit/	vt.隔离,孤立
issue	/'iʃju:,'isju:/	n.问题,争端,发行(物),期号vt.发行,流出
it	/it/	pron.它;/作无人称动词的主语/
item	/'aitəm/	n.条(款),项目;一则(新闻),(戏剧的)节目
its	/its/	pron./it的所有格/它的
itself	/it'self/	pron.(it的反身代词)它自己,它本身
jacket	/'dʒækit/	n.短上衣,茄克衫
jam	/dʒæm/	n.阻塞,轧住;果酱v.(使)阻塞,(使)轧住不动
January	/ˈdʒænjueri/	n.一月
jar	/dʒɑ:/	n.罐坛,广口瓶
jargon	/'dʒɑ:ɡən,-ɡɔn/	n.行话
jaw	/dʒɔ:/	n.颌,颚
jazz	/dʒæz/	n.爵士乐
jealous	/'dʒeləs/	a.(of)妒忌的;猜疑的,警惕的
jeans	/dʒiːnz/	n.牛仔裤（又称bluejeans,dungarees等）
jet	/dʒet/	n.喷气发动机,喷气式飞机;喷口v.喷出,喷射
jewel	/'dʒu:əl/	n.宝石,宝石饰物
jewelry	/'dʒu:əlri/	n.(jewllery)(总称)珠宝
job	/dʒɔb/	n.工作,职位;零活,一件工作;任务,职责
jog	/dʒɔɡ/	v.慢跑
join	/dʒɔin/	v.参加,加入;联合,连接;和…在一起
joint	/dʒɔint/	n.接合处,接头;关节a.联合的,共同的,连接的
joke	/dʒəuk/	n.笑话,玩笑v.说笑话,开玩笑
jolly	/'dʒɔli/	a.欢乐的,高兴的
journal	/'dʒə:nəl/	n.定期刊物,杂志,日报;日志,日记
journalist	/'dʒə:nəlist/	n.记者,新闻工作者
journey	/'dʒə:ni/	n.旅行,旅程v.旅行
joy	/dʒɔi/	n.欢乐,喜悦;乐事,乐趣
judge	/dʒʌdʒ/	n.法官;裁判员;鉴定人vt.审判;评论,裁判
judgement	/'dʒʌdʒmənt/	n.(judgment)审判,判决;判断(力);看法,意见
judicial	/dʒu:'diʃəl/	a.司法的,法庭的,审判的;明断的,公正的
jug	/dʒʌɡ/	n.(有柄,小口,可盛水等的)大壶,罐,盂
juice	/dʒu:s/	n.(水果等)汁,液
July	/dʒuˈlaɪ/	n.七月
jump	/dʒʌmp/	v./n.跳跃,跳动,跳过;暴涨,猛增
junction	/'dʒʌŋkʃən/	n.连接,接合,交叉点,枢纽站,接头,中继线
June	/dʒuːn/	n.六月
jungle	/'dʒʌŋɡl/	n.丛林,生死地带
junior	/'dʒu:njə/	a./n.年少的/者,三年级的/学生,下级(的)
junk	/dʒʌŋk/	n.废物,旧货;舢板
jury	/'dʒuəri/	n.陪审团;全体评审员
just	/dʒʌst/	ad.正好地;刚才;只不过a.公正的,公平的
justice	/'dʒʌstis/	n.公正,公平;审判,司法
justify	/'dʒʌstifai/	v.证明...正当(或有理、正确),为...辩护
juvenile	/'dʒu:vənail,-nil/	n.青少年,少年读物a.青少年的,幼稚的
keen	/ki:n/	a.锋利的;敏锐的;敏捷的;(on)热心的,渴望的
keep	/ki:p/	v.保持,保存,遵守,经营,看守,拘留,维持
kettle	/'ketl/	n.水壶
key	/ki:/	n.钥匙;答案;关键;键a.主要的,关键的
keyboard	/'ki:bɔ:d/	n.键盘vt.用键盘输入(信息)
kick	/kik/	n./v.踢
kid	/kid/	n.小孩,儿童v.戏弄,取笑
kidnap	/'kidnæp/	vt.诱拐;绑架,劫持
kidney	/'kidni/	n.肾,肾脏
kill	/kil/	vt.杀死,消灭;破坏,毁灭;消磨(时间)
kilo	/'ki:ləu,'ki-/	n.(kilogram/kilogramme)千克
kilometer	/ˈkɪləˌmitɚ; kəˈlɑmətɚ/	n.(kilometer)公里,千米(略作km)
kin	/kin/	n.家族,亲属,血缘关系a.亲属关系的,同类的
kind	/kaind/	a.仁慈的,友好的,亲切的,和蔼n.种类
kindergarten	/ˈkɪndərɡɑːrtn/	n.幼儿园
kindness	/'kaindnis/	n.仁慈,亲切;好意;友好行为
king	/kiŋ/	n.君主,国王
kingdom	/'kiŋdəm/	n.王国,领域
kiss	/kis/	n./v.吻,接吻
kit	/kit/	n.成套工具,用具包,工具箱
kitchen	/'kitʃin/	n.厨房
kite	/kait/	n.风筝
knee	/ni:/	n.膝,膝盖
kneel	/ni:l/	v.跪,下跪
knife	/naif/	n.刀,餐刀v.用刀切,用匕首刺
knit	/nit/	v.编织,编结;接合,粘合
knob	/nɔb/	n.门把,(球形)把手,旋纽
knock	/nɔk/	v.敲,敲打,碰撞n.敲,击
knot	/nɔt/	n.(绳)结;(树)节;节(=海里/小时)v.打结
know	/nəu/	vt.知道,了解;认识;识别vi.知道,了解
knowledge	/'nɔlidʒ/	n.知识,学识;知道,了解
lab	/læb/	n.(laboratory)实验室
label	/'leibl/	n.标签v.把...称为;用标签于;用标签标明
labor	/'leibɚ/	n.(labour)工作,劳动;劳力v.劳动,苦干
lace	/leis/	n.花边;带子,鞋带v.系带,扎带
lack	/læk/	n./v.缺乏,不足
lad	/læd/	n.男孩,小伙子
ladder	/'lædə/	n.梯子,阶梯
lady	/'leidi/	n.女士,夫人
lag	/læɡ/	v./n.落后,滞后vt.用隔热材料覆盖(锅炉等)
lake	/leik/	n.湖泊,湖水
lamb	/læm/	n.羔羊,小羊;羔羊肉
lame	/leim/	a.跛的,(辩解、论据等)无说服力的
lamp	/læmp/	n.灯
land	/lænd/	n.陆地,土地,国家v.(使)靠岸(登陆,降落)
landlady	/'lænd,leidi/	n.女房东,女地主
landlord	/'lændlɔ:d/	n.房东,地主
lane	/lein/	n.小路,小巷,行车道
language	/'læŋɡwidʒ/	n.语言,术语,(运用语言的)方式、风格
lantern	/'læntən/	n.灯,灯笼
lap	/læp/	n.大腿,(跑道的)一圈,一段路程,工作阶段
lapse	/læps/	n.失误,流逝,丧失,下降v.失效,偏离,流逝
laptop	/'læptɔp/	n.膝上型电脑
large	/lɑ:dʒ/	a.大的,广大的,大规模的
largely	/'lɑ:dʒli/	ad.主要地,基本上;大量地,大规模地
laser	/'leizə/	n.激光
lash	/læʃ/	v.鞭打,摆动,捆扎n.鞭子,鞭打,睫毛,讽刺
last	/lɑ:st,læst/	a.最后的,刚过去的ad.最后n.最后v.持续
late	/leit/	a.迟的,晚的,晚期的;已故的ad.迟,晚
lately	/'leitli/	ad.最近,不久前
latent	/'leitənt/	a.潜在的,潜伏的,不易察觉的
later	/'leitə/	ad.后来,过后
lateral	/'lætərəl/	n.侧面的,旁边的
Latin	/ˈlætɪn/	a.拉丁的,拉丁文的n.拉丁语
latitude	/'lætitju:d/	n.纬度,行动或言论的自由(范围),(pl.)地区
latter	/'lætə/	a.后者的;后一半的,接近终了的n.后者
laugh	/lɑ:f,læf/	v.笑;(on)讥笑n.笑,笑声
laughter	/'lɑ:ftə,'læf-/	n.笑,笑声
launch	/lɔ:ntʃ,lɑ:ntʃ/	v.发射;使(船)下水,发动,开展n.发射,下水
laundry	/'lɔ:ndri,'lɑ:n-/	n.洗衣房(店);待洗衣物,所洗衣物
lavatory	/'lævətəri,-,tɔ:ri/	n.厕所,盥洗室
law	/lɔ:/	n.法律,法规,法学,规律,定律
lawn	/lɔ:n/	n.草地,草坪
lawyer	/'lɔ:jə/	n.律师
lay	/lei/	v.放,搁;下(蛋);铺设,敷设;设置,布置
layer	/'leiə/	n.层,层次;铺设者
layman	/'leimən/	n.外行
layoff	/'leiɔf/	n.临时解雇,操作停止,活动停止期间,失业期
layout	/ˈleɪaʊt/	n.安排,布局,设计;规划图,布局图
lazy	/'leizi/	a.懒惰的,懒散的
lead	/li:d/	v.领导;领先;通向,导致n.带领,引导;铅
leadership	/'li:dəʃip/	n.领导阶层,领导能力
leading	/'lidɪŋ/	a.领导的,指导的;第一位的;最主要的
leaf	/li:f/	n.叶子;(书刊的)一页,一张;金属薄片
leaflet	/'li:flit/	n.小叶,嫩叶;传单,活页
league	/li:ɡ/	n.同盟,联盟;联合会,社团
leak	/li:k/	v.漏,泄漏n.漏洞,漏隙;泄漏,漏出
lean	/li:n/	v.倾斜,屈身;倚,靠,依赖a.瘦的,无脂肪的
leap	/li:p/	v.跳,跳跃n.跳跃,飞跃
learn	/lə:n/	v.学习,学,学会;(of,about)听到,获悉
learned	/'lə:nid/	a.博学的,有学问的
learning	/'lə:niŋ/	n.知识,学问;学习
lease	/li:s/	vt.出租,租用n.租借,租期,租赁物
least	/li:st/	a.最小的;最少的ad.最小;最少
leather	/'leðə/	n.皮革,皮革制品
leave	/li:v/	v.离开;留下,忘带;让,听任;交付n.许可;假期
lecture	/'lektʃə/	n./v.演讲,讲课
left	/left/	n.左面,左方a.左边的,左面的;在左方的
leg	/leɡ/	n.腿,腿部;支柱;(旅程的)一段,一站
legacy	/'leɡəsi/	n.遗产,遗赠;先人(或过去)留下的东西
legal	/'li:ɡəl/	a.法律的,法定的;合法的,正当的
legend	/'ledʒənd/	n.传说,传奇
legislation	/,ledʒis'leiʃən/	n.法律(规);立法,法律的制定(或通过)
legitimate	/li'dʒitimət/	a.合法的;合理的,合乎逻辑的vt.使合法
leisure	/'leʒə/	n.空闲,闲暇;悠闲,安逸
lemon	/'lemən/	n.柠檬
lend	/lend/	vt.借给,贷(款)
length	/leŋθ,leŋkθ/	n.长,长度;一段,一节,程度,范围
lens	/lenz/	n.透镜,镜头
less	/les/	a./ad.更少的(地),更小的(地)
lesson	/'lesən/	n.(功)课;/pl./课程;教训
lest	/lest/	conj.惟恐,免得
let	/let/	v.让,允许,听任;设,假设;出租,租给
letter	/'letə/	n.信,函件;字母,文字
level	/'levəl/	n.水平,水准,等级v.弄平,铺平a.水平的
lever	/'li:və,'le-/	n.杆,杠杆,手段,途径,工具
levy	/'levi/	n.征收,征税,征兵v.征收,征集,征用
liability	/,laiə'biləti/	n.责任,义务;(pl.)债务
liable	/'laiəbl/	a.有...倾向的;可能遭受...的;有责任的
liberal	/'libərəl/	a.慷慨的,大方的;富足的;自由的,思想开放的
liberate	/'libəreit/	vt.解放,释放
liberty	/'libəti/	n.自由,自由权;特权
librarian	/lai'brεəriən/	n.图书管理员
library	/'laibrəri/	n.图书馆;藏书室;藏书,丛书,文库
license	/'laisəns/	n.(licence)许可证,执照v.准许,认可
lick	/lik/	vt.舔;(火焰或浪)掠过;打败n.舔;少量
lid	/lid/	n.盖
lie	/lai/	vi.躺,平放;处于;位于v.说谎n.谎话
life	/laif/	n.生命,生存;一生,寿命;生活;生物
lifetime	/'laiftaim/	n.一生,终生
lift	/lift/	v.升起,举起,消散n.电梯,上升,免费搭车
light	/'lait/	n.光;灯v.点燃;照亮a.轻(快);淡;明亮
lightning	/'laitniŋ/	n.闪电a.闪电般的,快速的
like	/laik/	v.喜欢prep.像;比如a.相像的n.像…一样
likelihood	/'laiklihud/	n.可能性
likely	/'laikli/	a.很可能的,有希望的ad.大概,多半
likewise	/'laikwaiz/	ad.同样地,照样地;又,也,而且
limb	/lim/	n.肢,翼,大树枝
limit	/'limit/	n.界限,限度,范围v.(to)限制,限定
limitation	/,limi'teiʃən/	n.限制,局限性
limited	/'limitid/	a.有限的,被限制的
limp	/limp/	a.柔软的,易曲的v./n.蹒跚,跛行
line	/lain/	n.线;路线,航线;排;线路;界线v.排队;加衬
linear	/'liniə/	a.线的,直线的,线状的;长度的;线性的
linen	/'linin/	n.亚麻布,亚麻布制品
liner	/'lainə/	n.班机,定期轮船,邮船
linger	/'liŋɡə/	v.逗留,徘徊,拖延,留恋,浪费光阴,苟延残喘
linguistic	/liŋ'ɡwistik,-kəl/	a.语言的,语言学的
link	/liŋk/	v.连接,联系n.环节,链环
lion	/'laiən/	n.狮子
lip	/lip/	n.嘴唇
liquid	/'likwid/	n.液体a.液体的,液态的
liquor	/'likə/	n.酒;溶液,液剂
list	/list/	n.表,目录,名单v.把…编列成表,列入表内
listen	/'lisən/	vi.倾听(与介词to并用,方可置宾语)
literacy	/'litərəsi/	n.有文化,有教养,读写能力
literally	/'litərəli/	ad.照字面意义,逐字地;确实
literary	/'litərəri/	a.文学上的,文学的;精通文学的,从事写作的
literature	/'litərətʃə/	n.文学,文学作品,文献,图书资料,印刷品
litre	/'li:tə/	n.(liter)升;公升(容量单位)
litter	/'litə/	n.垃圾,(杂乱的)废物v.使杂乱,乱丢
little	/'litl/	a.小,幼小;不多的ad./n.不多,几乎没有
live	/liv/	v.活着,生活,居住a.活的,生动的,直播的
lively	/'laivli/	a.活泼的,活跃的;栩栩如生的,真实的
liver	/’lɪvər/	n.肝,肝脏
living	/'liviŋ/	a.活的,有生命的,天然的,逼真的n.生活,生计
living-room	/ˈlɪvɪŋ ruːm,ˈlɪvɪŋ rʊm/	n.起居室
load	/ləud/	v.装(货),装载n.装载(量),负荷(量);(一)担
loaf	/ləuf/	n.一个面包
loan	/ləun/	n.贷款;出借,借出v.借出
lobby	/'lɔbi/	n.门廊,门厅,(会议)休息厅
local	/'ləukəl/	a.地方的,当地的;局部的
locality	/ləu'kæləti/	n.位置,地点
locate	/ləu'keit,'ləu/	v.查出,探出,查找…地点,使…坐落于,位于
location	/ləu'keiʃən/	n.位置,场所,定位,测位
lock	/lɔk/	n.锁v.锁,锁上
locker	/'lɔkə/	n.更衣箱
locomotive	/'ləukə,məutiv/	n.机车,火车头a.运动的,移动的,运载的
lodge	/lɔdʒ/	v.临时住宿,寄宿,寄存,容纳n.传达室,小旅馆
lofty	/'lɔfti,'lɔ:f-/	a.崇高的,高尚的;高傲的;极高的
log	/lɔɡ,lɔ:ɡ/	n.原木,圆木;航海日志
logic	/'lɔdʒik/	n.逻辑,逻辑学
